Document ID,Text Comment
USDA-2017-0002-2889,"Workfare NOT Welfare! For those with two good hands and two good feet! Hell YES.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1580,"I urge the reinstatement of the work requirement for food stamps.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-4009,"Work for food stamps.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1920,"Able bodied persons should be required to work to receive any food stamp support!
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0178,Please see attached recommendations from Greystone Affordable Development (Greystone).
USDA-2017-0002-1919,"The national deficit continues to grow exponentially.  It's time to act responsibly and expect our citizens to act responsibly as well by working if they're capable and getting off the public dole.  Please audit your welfare role and remove the over 50% of people who are capable of returning to work.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3648,"Please reinstate work requirements for food stamps.
Support conservative waiver 
reform.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3604,"able bodied  should work at something or if no job available work public buildings, grounds , city streets cleaning up , saving tax payers money to receive food stamps
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1097,"Reinstate work requirements for food stamps and support conservative waiver reforms.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1729,"Add work requirement  to being able to receive Food stamps.  Let these resources go only to those that truely need it.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1756,"Having worked for well over 40 years and survived, and considering the current work environment, I believe it is time for the able bodied individuals to get off the couch and perhaps fend for themselves and to feed and shelter their own.  Socialism does not belong here in the USA.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0491,"Please Write Your Comment Here
IT'S TIME TO STOP ALL THE GIVE AWAY 
PROGRAMS, TOO MANY PEOPLE ABLE TO WORK ARE JUST SITTING TAKING ADVANTAGE OF THE FREE STUFF
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3983,"Please reinstate work requirements for food stamps and support conservative waiver reform.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3581,"Please Write Your Comment Here
Please help stop his nonsense!
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3116,"You need to reinstate the work to receive food stamps program! My tax dollars are being wasted on welfare programs tonable body recipient!
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1917,"Please make food stamp recipients work for their benefit.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-2847,"Reinstate work requirements for those who receive assistance.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0389,FSA loans are not competitive with commercial loan practices and are hindered with burdensome feasability plans not within today's practices in ag.. I our situation three loan application and three denials with inaccurate historical data and proven evidence of such was not allowed in the determinations. With this in mind how is rural ag able to withstand market lows with no financing available to make it to the high.
USDA-2017-0002-3602,"I am 67 and still working full time. I should not be working to support those that are able to work but won't.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0307,"Agency needs to change the intra-agency process for reviewing a Timber Harvest Plans is complex, lengthy and costly, resulting in inconsistency and inequity. litigation by activists is the primary issue of achieving goals of health forest outcomes. Appropriate forest management  can result in trees being removed from the forest and  the timber and wood can generate income for forest management to fight wildfires.  Efforts to maximize demand for removed wood, funding should be shifted from reacting to the consequences of poor forest management to preventative treatments that promote forest health and resilience. raise public awareness of forest health issues. collaborate with state colleges and universities to  offer more forestry programs to increase awareness of forest health concerns in their communities , to educate the public. Water districts can play a greater role in  educating their customers on the wildfires and pollutions of water. levels and attitudes toward forest health should be measured at the onset of educational campaigns, and policymakers should set clear goals for the changes they would like to see in those attributes. changing the culture surrounding fire and finding the right balance in wood processing infrastructure. We must hold the agencies accountable to its forest management goals against wildfires. With enough space, sunlight, nutrients and water, trees have the capacity to grow and thrive. They become stressed when lacking these elements. 
Century-old policy of putting out all fires, known as fire suppression, has created overcrowded forests. Before European settlement, naturally-ignited fires and those lit by Native Americans cleared the forest of debris that could cause severe fires. These events and practices also checked the growth of new trees that would compete with older, bigger trees. was a very diverse landscape of open, closed, young, and old forests.This diversity is essential to forest resiliency and helps forests survive a variety of threats. Wildfire has an especially negative impact on these critical watersheds. Soil erosion, particularly following a fire severely degraded water quality. watershed looks like a milkshake, and treating it costs millions of dollars.
Small towns, the local rural areas that lack strong economies, lucrative tax bases and  on concentrated political power that are bearing the economic brunt of tree mortality crisis. Their lives, property and infrastructure are threatened by dead and dying trees and the consequences of massive wildfires.
accumulated underbrush allows fire to overcome those defenses and burn hotter and climb into the tree canopy. Crown fires that burn at and move along tree-tops are the hardest to suppress due to an unlimited supply of fuel. Crown fire behavior is unpredictable, and kills most of the trees in its path. Water is negatively impact to downstream users,  soils into hardpan, blocking their natural function of capturing water and replenishing aquifers at lower elevations
Overgrown forests release less water for these needs. A Nature Conservancy report found that thinning forests to make them healthier could increase downstream water yields by up to 6 percent. The loss of diverse habitat under current management practices includes the loss of valuable meadows. Meadows absorb and hold water and release it. Overgrown forests also trap more of the annual snowpack in their higher branches, causing it to evaporate rather than reach the ground and flow downhill to water storage facilities later in the year when its most needed.
"
USDA-2017-0002-0439,"Conditions of Concern Regarding (PART 1)
Current Malheur National Forest Management Practices
February 18, 2018
The following conditions of concern and questions regarding management practices on the Malheur National Forest are 
brought forward here to hopefully shine a light on certain inconsistent or inappropriate practices in policy and in field 
operations. These practices show signs which appear to be beneficial to some operators to the detriment of other operators
 and to the local community.
These questionable practices will be listed knowing that there are overlapping and inter-tonguing areas where practices affect
 multiple types of operations and harvest objectives. 
As a result of number 13 below we have volunteered to write down their concerns  and present them widely so that changes 
may be made in these processes outlined below that will improve practices and give some equity to the timber industry in our 
area of the Malheur National Forest. 
Stewardship Programs (SP), Stewardship Grants (SG) and Timber Sales
1.	Stewardship revenues go to the General Fund and not to the local communities. A Recent stewardship program in 
Harney County harvested around 200 MM board feet of timber with No revenues going to the County. 
2.	There is no revenue sharing on biomass. A recent SP paid the contractor for the thinning of biomass and then the 
contractor owned the biomass to sell at a time of his choosing. 
3.	There is no stumpage charge for merchantable trees in the recent SP's. The contractor essentially is getting paid twice 
for the work he is doing. 
4.	A recent large SP paid the contractor by equipment hour vs by loads or board feet of production. This system is a virtual
 invitation for billing abuse and is difficult if not impossible to audit. 
5.	SP sizes and time limitations are such that a small operator is at an extreme disadvantage or simply unable to bid on 
these. Timber sales can do the same kinds of things as SP's but can be let out on a smaller scale, so more small operators 
will have a chance to successfully bid on them. In addition, the revenues from timber sales return back to the local county. 
6.	The practice of letting SG's and contracts based on ""best value"" vs cost to the public, lends itself to highly subjective 
and often blatant cronyism or nepotism. The quality of the work can be controlled by proper oversight and sale requirements. 
Opening these contracts up to multiple operators both makes the costs more competitive and builds a larger contractor base 
and industry. 
7.	The letting of large, longer term SG's to single larger contractors essentially gives them a monopoly on the mill.  The mill 
will be dictated to by the large contractor so the smaller contractor may or may not ever see a mill contract for the duration of 
the large SP. 
8.	Recent SP's have allowed the contractor to mark his own trees which again leads to the perception, if not reality, of 
abuse by the contractor. Again here, timber sales are marked by the agency and thus there is opportunity for oversight and 
audits of the harvest.
9.	It has been stated that SP's do not have to be advertised in the local media but only via the internet. Timber sales must 
be advertised in the local paper and other available media. Both SP's and timber sales should be advertised the same in 
order for all to have fair notification. 
10.	On some SG's and Timber sales the contractor is allowed to trade service work for timber. The agency then turns 
around and writes a 1099 for the entire stumpage and the contractor also gets a 1099 from the logs hauled to the mill. 
This is double taxation.
11.	On a timber sale the agency marks the sale with no quality control on the marking team.  Often there are trees marked 
with no stump shots. Missing one stump shot per 100 trees creates a huge potential liability for the contractor over the entire 
sale. 
12.	In some cases, non-merchantable (crooked, split or forked) trees are marked on the stump the same a good tree? 
13.	Maybe the most troubling of all this is that the industry has been weakened to the point where the remaining small 
loggers are afraid of reprisals against them if they raise complaints about unfair or negligent practices exercised by the 
regulating agency. Without the ability to trust that their concerns will be fairly treated they have, or perceive to have, no 
way to stand up for their valid rights as contractors!  
"
USDA-2017-0002-1755,"Many people NOT on disability or with preschool age children are able to do some work.  Reinstating the work requirement helps give people a sense of dignity.  Even if the work is done as a volunteer for a non profit, it gives the person a sense of pride rather than just getting a handout.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-2047,"Please support conservative waiver reform now &amp; stop all tax payer handouts to people who only want to scam the system, obtain federal funds &amp; not work.

These people are ripping off the tax payers!

It has to end now!

Thank you.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1055,"Please reinstate work requirements for food stamps and support conservative waiver reforms.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3010,"The number of people on sustained welfare is unconscionable.  I do believe in helping those who truly need help. Those who can work should be mandated to look and acquire a job so that total welfare numbers can be reduced.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0957,"please assure that there will be work requirements for all food stamp and welfare programs.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0083,"Rescind  the Clean Power Plan will cost $29 to $39 billion per year,  cost of MATS $10 billion. Clean Power Plan means BIG electricity price increase.  GSO shows climate change FUNDING  increased  $2.4 billion in 1993 to $11.6 billion 2014, with  additional $26.1 billion climate change programs...... End Dodd-Frank Act  ,   National Pollutant Discharge Elimination System (NPDES), Greenhouse Gas Reporting GHGRP (codified at 40 CFR Part 98), Operating Permits Issued under Title V of the Clean Air Act, Pesticide Active Ingredient Production Industry: National Emission Standards for Hazardous Air Pollutants (NESHAP), wastes from non-specific sources (called F-wastes) 73 FR 31756  by modifying the scope of the EPA Hazardous Waste No. F019, The Clean Air Act (CAA), Safe Drinking Water Act (SDWA), The Comprehensive Environmental Response, Compensation and Liability Act (CERCLA),   NESHAP) Regulations (40 CFR Part 61, Subpart M), CERCLA Hazardous Substances and Reportable Quantities, Resource Conservation and Recovery Act (RCRA) Subtitle C, 40 CFR section 258.2, Cleaner Power Plants, MACT standard, Manufacturer-Tested Combustion Control Devices, well completion notification provisions, Subtitle C of Resource Conservation and Recovery Act (RCRA), Clean Green tax credits and subsidize, carbon tax bonds, Clean Power Plan, clean water, Clean air,    Renewable portfolio standard,  tax credit for Wind, solar, electric cars, Renewable part of Energy Policy Act of 2005,  all Climate Change Science Program , Global Change Research Act,  (EAJA) costs to all tax payers. STOP  Federal regulatory cost , Cut funds to EPA,  federal regulatory cost reached $1.885 trillion in 2015  cumulative costs of 120 selected major regulations during the decade from 2004 to 2014 at between $68.4 billion and $102.9 billion (in 2010 dollars)........ NAM estimates that regulatory costs now exceed $2 trillion...  most active rule-producing entities.. Environmental Protection Agency (EPA) top five. 1,639 rules, or 46 percent of all federal rules."
USDA-2017-0002-3495,"Please reinstate work requirements for government benefits.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0805,"reinstitute conservative food stamp work requirements.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0627,"Interesting that you all have benefit sign up tables set up in WalMart stores on Friday nights, right in front where illegals sending untaxed cash out of the country can apply fir food stamps and o-care.  All of their ""free stuff"" is paid for by legal American workers.
Watch footage of BLM and ACORN riots.  Why aren't the participants working?  Married couples are working 2 jobs each to pay outrageous o-care premiums with high deductibles.
The entitlement-minded have been made so by public schools and generational leeching.  
You don't require that the able-bodied work.  NO ILLEGAL INVADER SHOULD BE ALLOWED TO COLLECT A SINGLE CENT OF TAXPAYER MONEY THROUGH ANY AGENCY.   We are being betrayed furst by extortion of taxed earnings and then by the utter waste of those funds.
DC is not a swamp.  It is a rat-filled sewer.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3298,"Such MEGA waste of federal funds to people who should be paying for their own food with at least some kind of work. Please END this ! Get the recipients busy working if they want to receive the SNAP assistance.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1959,"stop the fu--ing Handing out
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0642,"Please supporr this waiver reform.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-4026,"I hope you and your staff are having a wonderful day. The American Tax Payer wants to help those who need help, but only those who NEED help.
It is wrong and unfair to ask tax payers to pay for those who are just as capable of working as the tax payer. 
Food stamps are for those who need them because they cannot work for whatever reason, NOT for those who can work.
Thank You &amp; God Bless You.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3583,"Having 43 million able-body people getting food stamps is outrageous! The disastrous Obama policy only enables people to sit back and NEVER work again in comfort.
Therefore reinstate work requirements for any food stamps and support the Conservative Waiver Reform.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3302,"If you are hungry you should work for your food. Require work for food. At least have them look and record where they look! Nothing should be free, require a town job picking up garbage along the highway. They need to give back a little for their assistance.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1313,"Please support work requirements for welfare and conservative welfare reform. Welfare should be a temporary helping hand for those truly in need.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3561,"Please reinstate work requirements for people who are on welfare that are capable of working. Welfare is supposed to be temporary, not a way of life.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-2095,"The USDA needs to reinstate work requirements for food stamps and conservative waiver reform now!!!

People do not appreciate what they dont work for. Low self esteem is one of the by products of getting hand outs. No more hand outs..they need a hand up and, therefore,  we need to reinstate work requirements.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1444,"I'm asking you to make it mandatory that able body adults be required to work and/or be removed from free benefits from generous taxpayers. There's been too much fraud and waste of our taxes.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-2378,"Let's get going and right this wrong!
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0727,"Should work for food stamps as in the past, unless disabled.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
